sequence_id,url_id,url,frame_start,frame_end,sequence_duration,source_id,source,l1_pose_id,l1_pose,l2_pose_id,l2_pose,l3_pose_id,l3_pose,collector_id,split
1000,1530,https://www.youtube.com/watch?v=5vIJX7SIiJo,159,163,4,1089,Alo Yoga,1,standing,11,standing-straight,101,mountain,3,train
1002,2943,https://www.youtube.com/watch?v=HelFdy8B4X4,46,49,3,1168,Ashtanga Nurse,1,standing,11,standing-straight,101,mountain,3,train
1003,3277,https://www.youtube.com/watch?v=jMJfl5w30Ds,1859,1861,2,1247,Bharti Yoga,1,standing,11,standing-straight,101,mountain,3,test
1004,1904,https://www.youtube.com/watch?v=AoGt1DKsiDo,747,749,2,1308,Cat Meffan,1,standing,11,standing-straight,101,mountain,3,train
1005,4630,https://www.youtube.com/watch?v=syXsoVb8NVo,48,52,4,1369,COSMIN YOGI,1,standing,11,standing-straight,101,mountain,3,train
1006,5390,https://www.youtube.com/watch?v=YdHbkUB4KhA,41,45,4,1369,COSMIN YOGI,1,standing,11,standing-straight,101,mountain,3,train
1007,1120,https://www.youtube.com/watch?v=-r15RxP8ZzE,205,209,4,1467,EkhartYoga,1,standing,11,standing-straight,101,mountain,3,train
1008,1919,https://www.youtube.com/watch?v=ArDlqoRqfko,82,85,3,3352,에바요가EVAYOGA,1,standing,11,standing-straight,101,mountain,3,train
1009,2293,https://www.youtube.com/watch?v=D09BLCas3z8,148,153,5,3352,에바요가EVAYOGA,1,standing,11,standing-straight,101,mountain,3,train
1010,2373,https://www.youtube.com/watch?v=DjouBoZ-IPg,27,35,8,3352,에바요가EVAYOGA,1,standing,11,standing-straight,101,mountain,3,train
1011,2551,https://www.youtube.com/watch?v=eomUyp3OJ48,58,61,3,3352,에바요가EVAYOGA,1,standing,11,standing-straight,101,mountain,3,train
1012,3305,https://www.youtube.com/watch?v=JwGSS1ZsjLY,760,762,2,3352,에바요가EVAYOGA,1,standing,11,standing-straight,101,mountain,3,train
1013,4422,https://www.youtube.com/watch?v=RMNi3hRuZ1o,731,734,3,3352,에바요가EVAYOGA,1,standing,11,standing-straight,101,mountain,3,train
1014,4562,https://www.youtube.com/watch?v=sJBUpGRLKbE,185,190,5,1646,Hannah Vile,1,standing,11,standing-straight,101,mountain,3,train
